k,time_s,safety_mode,ctrl_mode,fw,vdc,rs,wm,omega_ref,id_ref,iq_ref,id_fw,theta_ref,theta_mech,epos_live,epos_pi,espd,i_alpha,i_beta,tl_hat,mpcJ,enc,iq_inj,frf_freq_hz
55,0.00275000,0,1,0,49.818108,0.447278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009569,0.218069,0.005606,0.008789,0,0.000000,0.000000
56,0.00280000,0,1,0,49.782204,0.445876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009907,0.269182,0.010171,0.008154,0,0.000000,0.000000
57,0.00285000,0,1,0,49.744080,0.446891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.112187,0.125747,0.011925,0.004734,0,0.000000,0.000000
58,0.00290000,0,1,0,49.703773,0.446857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166731,0.147809,0.013987,0.008808,0,0.000000,0.000000
59,0.00295000,0,1,0,49.661358,0.445487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240265,0.143197,0.015862,0.008803,0,0.000000,0.000000
60,0.00300000,0,1,0,49.616871,0.446688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153880,-0.021831,0.014676,0.003843,0,0.000000,0.000000
61,0.00305000,0,1,0,49.570389,0.446711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200840,-0.051951,0.013008,0.007387,0,0.000000,0.000000
62,0.00310000,0,1,0,49.521965,0.445168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247251,-0.082291,0.010879,0.006715,0,0.000000,0.000000
63,0.00315000,0,1,0,49.471668,0.448530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051282,-0.064716,0.009170,0.000774,0,0.000000,0.000000
64,0.00320000,0,1,0,49.419567,0.448419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067166,-0.078292,0.007303,0.001133,0,0.000000,0.000000
65,0.00325000,0,1,0,49.365734,0.448659,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060335,-0.090309,0.005313,0.001507,0,0.000000,0.000000
66,0.00330000,0,1,0,49.310238,0.449035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063265,-0.102854,0.003196,0.001955,0,0.000000,0.000000
67,0.00335000,0,1,0,49.253162,0.449106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043139,-0.146552,0.000399,0.003969,0,0.000000,0.000000
68,0.00340000,0,1,0,49.194576,0.449236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006047,-0.190605,-0.003052,0.006714,0,0.000000,0.000000
69,0.00345000,0,1,0,49.134567,0.449306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010437,-0.236795,-0.007161,0.010362,0,0.000000,0.000000
70,0.00350000,0,1,0,49.073212,0.447943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006713,-0.285361,-0.011939,0.009027,0,0.000000,0.000000
71,0.00355000,0,1,0,49.010593,0.447305,-30.679617,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.127187,-0.129542,21.462349,0.005655,-1,0.000000,0.000000
72,0.00360000,0,1,0,48.946808,0.447311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.205320,-0.123631,-1.088752,0.010613,-1,0.000000,0.000000
